questionId,stage,kind,english,optionA,optionB,optionC,optionD,correctOption,explanation,sourceId,sourceTitle,sourcePage,active,rewardDose,rewardCoins
S1-CRYSTAL-014,1,sentence,Ternary compounds contain three elements.,삼원계 화합물은 세 종류의 원소를 포함한다.,삼원계 화합물은 원자 세 개만을 포함한다.,이원계 화합물은 세 종류의 원소를 포함한다.,삼원계 화합물은 세 개의 결정립만을 포함한다.,A,ternary는 구성 원소가 세 종류라는 뜻입니다. 전체 원자 수가 세 개라는 뜻이 아닙니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,6,True,1000000000000.0,10
S1-CRYSTAL-015,1,sentence,Silicon is more abundant and cheaper than germanium.,실리콘은 저마늄보다 풍부하고 저렴하다.,실리콘은 저마늄보다 희소하고 비싸다.,실리콘은 저마늄보다 풍부하지만 비싸다.,실리콘은 저마늄보다 희소하지만 저렴하다.,A,"more abundant는 더 풍부한, cheaper는 더 저렴한을 뜻합니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,9,True,1000000000000.0,10
S1-CRYSTAL-016,1,sentence,A wider bandgap makes off-state leakage more difficult.,더 넓은 밴드갭은 꺼진 상태에서 누설 전류가 흐르기 어렵게 한다.,더 넓은 밴드갭은 꺼진 상태에서 누설 전류가 흐르기 쉽게 한다.,더 좁은 밴드갭은 꺼진 상태에서 누설 전류를 반드시 없앤다.,더 넓은 밴드갭은 켜진 상태의 모든 전류를 반드시 없앤다.,A,"off-state는 꺼진 상태입니다. more difficult는 어렵게 한다는 의미로, 완전 제거를 뜻하지 않습니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,9,True,1000000000000.0,10
S1-CRYSTAL-017,1,sentence,Impurities can be added in precisely controlled amounts.,불순물은 정밀하게 제어된 양으로 첨가될 수 있다.,불순물은 제어되지 않은 양으로만 첨가될 수 있다.,불순물은 정밀하게 제어된 양으로 제거될 수 있다.,불순물은 어떤 양으로도 첨가될 수 없다.,A,"added는 첨가된다는 뜻이며, precisely controlled amounts는 정밀하게 제어된 양입니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,10,True,1000000000000.0,10
S1-CRYSTAL-018,1,sentence,Atoms in crystalline solids are arranged periodically.,결정질 고체의 원자들은 주기적으로 배열된다.,결정질 고체의 원자들은 완전히 무질서하게 배열된다.,결정질 고체의 원자들은 주기적으로 다른 원소로 변한다.,비정질 고체의 원자들은 반드시 장거리 주기성을 갖는다.,A,periodically는 일정한 패턴이 반복됨을 뜻합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,14,True,1000000000000.0,10
S1-CRYSTAL-019,1,sentence,Polycrystalline solids consist of many small single-crystal regions.,다결정 고체는 여러 작은 단결정 영역으로 이루어진다.,다결정 고체는 하나의 연속된 단결정 영역만으로 이루어진다.,다결정 고체는 주기성이 전혀 없는 영역만으로 이루어진다.,단결정 고체는 서로 다른 방향의 결정립들로 이루어진다.,A,"many small single-crystal regions는 여러 작은 단결정 영역, 즉 결정립을 뜻합니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,14,True,1000000000000.0,10
S1-CRYSTAL-020,1,sentence,A body-centered cubic lattice has an atom at the cube center.,체심 입방 격자는 정육면체 중심에 원자가 있다.,면심 입방 격자는 정육면체 중심에 원자가 있다.,체심 입방 격자는 정육면체 중심에 원자가 없다.,단순 입방 격자는 정육면체 중심에 원자가 있다.,A,"body-centered는 체심을 뜻하며, 면의 중심을 뜻하는 face-centered와 구별됩니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,15,True,1000000000000.0,10
S1-CRYSTAL-021,1,sentence,A face-centered cubic cell has atoms at its corners and face centers.,면심 입방 단위 격자는 꼭짓점과 면의 중심에 원자가 있다.,면심 입방 단위 격자는 꼭짓점과 정육면체 중심에만 원자가 있다.,면심 입방 단위 격자는 모서리의 중점에만 원자가 있다.,면심 입방 단위 격자는 꼭짓점에는 없고 면의 중심에만 원자가 있다.,A,"corners는 꼭짓점, face centers는 각 면의 중심을 뜻합니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,15,True,1000000000000.0,10
S1-CRYSTAL-022,1,sentence,The lattice constant is the edge length of a cubic unit cell.,격자 상수는 입방 단위 격자의 한 변 길이이다.,격자 상수는 입방 단위 격자의 전체 부피이다.,격자 상수는 입방 단위 격자 내부의 원자 수이다.,격자 상수는 입방 단위 격자의 공간 대각선 길이이다.,A,edge length는 변의 길이입니다. 부피나 대각선 길이와 구별해야 합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,16,True,1000000000000.0,10
S1-CRYSTAL-023,1,sentence,The diamond structure is characteristic of silicon and germanium.,다이아몬드 구조는 실리콘과 저마늄의 특징적인 구조이다.,다이아몬드 구조는 실리콘에만 있고 저마늄에는 없는 구조이다.,다이아몬드 구조는 저마늄에만 있고 실리콘에는 없는 구조이다.,다이아몬드 구조는 실리콘과 저마늄이 갖지 않는 구조이다.,A,characteristic of는 해당 물질의 특징이라는 뜻입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,20,True,1000000000000.0,10
S1-CRYSTAL-024,1,sentence,Each atom has four nearest neighbors in the diamond structure.,다이아몬드 구조에서 각 원자는 최근접 이웃 원자 네 개를 갖는다.,다이아몬드 구조에서 각 원자는 최근접 이웃 원자 여섯 개를 갖는다.,다이아몬드 구조의 단위 격자 전체에는 원자가 네 개만 있다.,다이아몬드 구조에서 각 원자는 다음 근접 이웃 원자 네 개만 갖는다.,A,nearest neighbors는 최근접 이웃입니다. 단위 격자 전체의 원자 수를 묻는 문장이 아닙니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,22,True,1000000000000.0,10
S1-CRYSTAL-025,1,sentence,Metallurgical-grade silicon is not pure enough for electronic applications.,금속급 실리콘은 전자 소자용으로 사용하기에 충분히 순수하지 않다.,금속급 실리콘은 전자 소자용으로 사용하기에 충분히 순수하다.,전자급 실리콘은 금속급 실리콘보다 항상 불순물이 많다.,금속급 실리콘은 불순물을 전혀 포함하지 않는 단결정이다.,A,not ... enough는 충분히 ...하지 않다는 뜻입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,24,True,1000000000000.0,10
S1-CRYSTAL-026,1,sentence,Fractional distillation separates substances using differences in boiling point.,분별 증류는 끓는점 차이를 이용해 물질을 분리한다.,분별 증류는 녹는점 차이만을 이용해 물질을 분리한다.,분별 증류는 끓는점 차이를 없애 물질을 결합한다.,분별 증류는 격자 상수 차이만을 이용해 물질을 분리한다.,A,boiling point는 끓는점이며 melting point인 녹는점과 다릅니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,26,True,1000000000000.0,10
S1-CRYSTAL-027,1,sentence,The seed crystal is slowly raised from the melt.,종자 결정을 용융액에서 천천히 끌어올린다.,종자 결정을 용융액 속으로 빠르게 밀어 넣는다.,종자 결정을 용융액에서 천천히 제거해 모두 기화시킨다.,용융액을 종자 결정 위에서 빠르게 증발시킨다.,A,raised from은 아래쪽에서 끌어올린다는 의미입니다. melt는 용융액을 뜻합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,27,True,1000000000000.0,10
S1-CRYSTAL-028,1,sentence,An epitaxial layer maintains the crystal orientation of the substrate.,에피택셜층은 기판의 결정 방향을 유지한다.,에피택셜층은 기판의 결정 방향을 항상 무작위로 바꾼다.,에피택셜층은 기판의 결정 방향과 반드시 반대가 된다.,에피택셜층은 기판의 결정성을 완전히 제거한다.,A,maintains는 유지한다는 뜻이며 orientation은 결정 방향을 의미합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,31,True,1000000000000.0,10
S1-CRYSTAL-029,1,sentence,Epitaxial growth can occur below the substrate melting point.,에피택셜 성장은 기판의 녹는점보다 낮은 온도에서 가능하다.,에피택셜 성장은 기판의 녹는점보다 높은 온도에서만 가능하다.,에피택셜 성장은 기판이 완전히 기화된 상태에서만 가능하다.,에피택셜 성장은 기판의 온도와 무관하게 항상 불가능하다.,A,"below는 아래라는 뜻으로, 여기서는 녹는점보다 낮은 온도를 나타냅니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,32,True,1000000000000.0,10
S1-CRYSTAL-030,1,sentence,Lattice mismatch can produce strain in an epitaxial layer.,격자 부정합은 에피택셜층에 변형률을 유발할 수 있다.,격자 부정합은 에피택셜층의 모든 변형률을 제거한다.,격자 정합은 에피택셜층을 반드시 비정질로 만든다.,격자 부정합은 에피택셜층의 원자번호를 바꾼다.,A,"lattice mismatch는 격자 부정합, strain은 변형률입니다. can은 가능성을 뜻합니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,33,True,1000000000000.0,10
